年月,国,国名,当月輸出金額,累計輸出金額,当月輸入金額,累計輸入金額
202003,'116,ブルネイ,910162,2245662,21765378,78747480
202003,'117,フィリピン,84307919,266715588,94804966,268401373
202003,'118,インドネシア,131587139,346954278,156991520,478519260
202003,'120,カンボジア,4496813,12157484,19263392,51803467
202003,'121,ラオス,1339357,3805407,1543185,4579958
202003,'122,ミャンマー,5833888,18577176,15479237,44057339
202003,'123,インド,108121905,299690249,49178415,158470447
202003,'124,パキスタン,13435214,33948390,1820682,6400071
202003,'125,スリランカ,7608152,20544608,2508929,7915382
202003,'126,モルディブ,259579,537968,8416,89266
202003,'127,バングラデシュ,22913734,54861391,16309386,46594367
202003,'128,東ティモール,56133,174143,14802,33538
202003,'129,マカオ,1459330,4116176,173696,473415
202003,'130,アフガニスタン,397612,1173509,317,10069
202003,'131,ネパール,1030265,1715237,66846,196872
202003,'132,ブータン,37844,116209,-,876
202003,'133,イラン,397703,2035246,577390,1517105
202003,'134,イラク,5452191,13172439,3120,3457308
202003,'135,バーレーン,7608834,18985071,154272,13881747
202003,'137,サウジアラビア,66146436,171887815,231318489,725793525
202003,'138,クウェート,18321175,49992720,65273135,205759011
202003,'140,カタール,10201677,32818133,133622717,409739147
202003,'141,オマーン,17469471,50468305,7703456,57208035
202003,'143,イスラエル,18528809,45908875,12649398,33671820
202003,'144,ヨルダン,4435947,13697517,148925,1440815
202003,'145,シリア,369586,524007,8137,10079
202003,'146,レバノン,328867,2784921,75931,293113
202003,'147,アラブ首長国連邦,82482582,200019522,247655588,741786229
202003,'149,イエメン,2306320,6762075,103658,145679
202003,'150,アゼルバイジャン,705487,1862078,19589,62812
202003,'151,アルメニア,137654,218665,100582,363494
202003,'152,ウズベキスタン,1136494,5162836,12231,125743
202003,'153,カザフスタン,6070409,13734399,24957604,35888504
202003,'154,キルギス,159986,421136,2457,7668
202003,'155,タジキスタン,21941,55479,17363,37544
202003,'156,トルクメニスタン,3979855,4137351,1038,1038
202003,'157,ジョージア,2063319,5641377,167107,366673
202003,'158,ヨルダン川西岸及びガザ,60358,104432,26014,27706
202003,'201,アイスランド,1056825,2058377,737018,2358392
202003,'202,ノルウェー,9366073,32073204,12227248,38714307
202003,'203,スウェーデン,13357450,34696455,27323214,85773465
202003,'204,デンマーク,4842944,13951593,21811236,61631948
202003,'205,英国,114406303,389747363,64189097,197676762
202003,'206,アイルランド,8206193,24487216,63433060,184091685
202003,'207,オランダ,114516880,319630186,22450497,68953559
202003,'208,ベルギー,74499322,199646616,37194810,86808568
202003,'209,ルクセンブルク,4190191,10244153,609492,2749022
202003,'210,フランス,62783497,172110572,82872426,248852993
202003,'211,モナコ,11500,50580,3954,33160
202003,'212,アンドラ,-,1800,-,1744
202003,'213,ドイツ,183529612,521231856,199126206,604957598
202003,'215,スイス,33735331,103091433,67844401,217844234
202003,'217,ポルトガル,9886194,17143722,2979472,9867760
202003,'218,スペイン,23881015,78581944,29520343,91593411
202003,'219,ジブラルタル（英）,887970,2729861,-,0
202003,'220,イタリア,41639147,126106950,96677306,292728239
202003,'221,マルタ,731160,4647275,1165929,6077724
202003,'222,フィンランド,4738566,13210802,16315218,49551842
202003,'223,ポーランド,25393910,75103619,9577919,26612882
202003,'224,ロシア,60339662,183849295,112092545,342414385
202003,'225,オーストリア,9974891,31645246,17625374,53597280
202003,'227,ハンガリー,17350334,48514431,11360072,31936814
202003,'228,セルビア,202138,978669,3152755,9498593
202003,'229,アルバニア,21678,34081,93393,372738
202003,'230,ギリシャ,4966278,11344385,7173862,17867969
202003,'231,ルーマニア,3786791,11108528,6529053,25245671
202003,'232,ブルガリア,1231399,4102593,996111,3651624
